The provided genome contains 12300 ORFs with an average length of 360 nucleotides.

Location  Strand    Length    
30        +         462       
132       -         513       
904       -         489       
1235      +         309       
1628      -         360       
2382      -         420       
2491      +         309       
2811      -         402       
3483      +         309       
3810      -         309       
4329      +         315       
4513      -         354       
4877      -         303       
5309      -         411       
5419      +         528       
6594      +         312       
7243      -         327       
7366      +         408       
7804      +         375       
8890      +         312       
9028      -         309       
9395      +         303       
9516      -         306       
10105     -         561       
10439     +         309       
11082     +         342       
11096     -         318       
11676     -         330       
11818     +         345       
12306     -         1173      
12465     +         330       
13723     -         420       
13957     +         321       
14764     +         306       
15244     -         369       
15848     +         369       
15987     -         309       
16368     +         348       
16731     -         390       
16948     +         321       
17462     -         312       
17671     +         348       
18009     -         339       
18333     +         438       
19022     +         303       
19156     -         303       
19616     -         408       
19723     +         336       
20324     -         375       
20339     +         330       
21112     -         318       
21129     +         339       
21823     -         360       
22206     -         303       
23505     +         363       
23657     -         324       
23989     +         312       
24800     +         408       
25211     -         426       
25720     +         363       
26084     -         315       
26150     +         309       
26763     -         318       
27247     +         324       
27706     +         396       
27910     -         318       
28247     +         342       
28438     -         342       
28782     -         318       
29461     +         324       
30044     -         567       
30546     +         345       
30976     -         351       
32818     -         378       
33195     +         318       
33230     -         339       
33772     -         354       
34453     -         318       
34732     +         318       
34937     -         501       
35446     +         459       
35830     -         345       
36011     +         330       
36429     +         414       
36721     -         303       
36851     +         303       
37415     +         348       
37801     +         477       
37904     -         357       
38561     +         303       
38693     -         318       
39145     +         375       
39490     -         351       
39670     +         354       
40036     -         456       
40660     -         306       
40965     +         399       
41389     -         375       
41809     -         366       
42033     +         324       
42838     -         306       
42896     +         378       
43782     -         423       
44041     +         363       
44551     -         354       
45463     +         306       
45499     -         309       
46242     -         495       
46885     +         309       
47001     -         453       
47678     +         498       
47730     -         312       
48086     -         459       
48761     -         309       
49170     -         372       
49596     +         336       
49654     -         303       
50096     +         450       
50462     -         303       
50759     +         315       
51213     +         390       
51430     -         384       
52143     -         345       
52280     +         321       
52791     -         309       
53025     +         411       
53141     -         408       
53586     +         309       
53964     +         330       
54023     -         318       
54421     -         375       
54875     +         423       
54980     -         342       
55420     +         351       
55434     -         471       
55839     +         306       
56371     +         384       
56840     +         312       
57129     -         327       
57255     +         336       
57512     -         321       
58034     -         360       
58458     +         306       
58468     -         306       
58884     +         396       
59314     -         402       
59661     +         303       
59948     -         444       
60364     +         492       
61512     +         396       
62005     -         441       
62369     +         321       
63070     -         315       
63159     +         354       
64232     +         384       
64656     +         309       
64762     -         312       
65278     +         345       
65584     -         339       
66266     +         345       
66429     -         378       
66825     +         363       
67876     -         543       
68524     +         309       
68757     -         330       
68905     +         429       
69523     +         312       
69876     +         420       
69954     -         486       
70704     +         348       
70942     -         321       
71116     +         480       
71658     +         318       
71879     -         336       
72141     +         453       
72653     +         336       
72910     -         303       
73114     +         735       
73740     -         345       
74360     +         402       
74599     -         375       
74813     +         306       
75323     -         324       
75757     +         333       
76122     +         306       
76208     -         330       
76444     +         405       
76904     -         351       
77183     +         318       
77351     -         321       
77925     -         393       
78079     +         381       
78355     -         501       
78799     +         312       
79193     -         327       
79328     +         354       
79717     -         405       
79810     +         333       
80568     -         318       
81008     -         339       
81290     +         360       
81806     -         348       
82068     +         324       
82414     -         318       
82653     +         303       
82993     -         327       
83239     +         315       
83402     -         306       
83967     -         357       
84169     +         363       
85031     -         327       
85411     -         327       
85485     +         525       
86023     -         327       
86651     -         342       
87287     -         312       
87320     +         333       
87640     -         369       
87997     +         363       
88720     +         309       
88793     -         303       
89132     -         324       
89428     +         405       
89796     -         318       
89958     +         339       
90204     -         486       
90507     +         351       
90759     -         342       
91493     +         306       
91944     -         309       
92006     +         318       
92516     -         303       
92837     -         516       
93093     +         306       
93433     -         321       
93840     +         309       
94133     -         303       
94568     +         348       
94604     -         534       
94925     +         336       
95556     -         447       
95964     +         357       
96190     -         498       
96767     -         321       
97269     +         363       
97480     -         495       
98305     +         309       
98448     -         360       
98656     +         366       
99598     +         336       
100048    +         312       
100280    -         372       
100683    +         315       
100969    -         336       
101369    -         321       
102109    +         327       
102149    -         354       
103051    -         384       
103106    +         369       
